"Name","Type","HQ","Ticket Range (EUR)","Thesis/Sector Fit","Why fits Chairmatch","Why fits Alltagsengel","Contact Channel","Active 2025-26 Evidence","Anti-Match Flag"
"Sherry Coutu","Angel","Cambridge, UK","25k-150k","Consumer internet, info services, education; LinkedIn + Zoopla precedent","Zoopla precedent = marketplace fluency","n/a","LinkedIn; Cambridge Angels intro","60+ angel investments; latest exit Topia Jun 2025","Slower angel cadence recently"
"David Buttress","Angel + 83North Venture Partner","London/Wales, UK","25k-100k","Just Eat founder turned angel; HealthTech + Consumer","Direct: Just Eat = canonical EU service marketplace","Direct: backed Cera, UK's largest home-care marketplace (publicly-funded analogue to §45b)","LinkedIn; 83North if warm intro available","Cera unicorn in portfolio; now OVO CEO so slower angel pace","OVO CEO role limits bandwidth — still worth attempt given Cera parallel"
"Niklas Zennström","Angel + Atomico Angel Programme","London, UK","25k-200k","Skype/Kazaa founder; consumer internet","Consumer-internet marketplace background","n/a","Atomico Angel Programme application; LinkedIn","22 angel investments; latest Audos seed Jun 2025","Atomico fund itself too late-stage"
"PICO Venture Partners","Micro-VC","Jerusalem, Israel","460k-2.3M","Tech-enabled services solving large-market inefficiencies; HealthTech, FoodTech, Consumer","Direct: ""tech-enabled services in large markets"" = Chairmatch core","Direct: HealthTech + The Vets (pet-care marketplace) + K Health = comfort with care-service marketplaces","pico.partners/contact","3 investments in 2025; latest Orion Security Feb 2026","Israeli-founder preference but international portfolio exists"
"OurCrowd","Syndicate Platform","Jerusalem, Israel","50k-500k via syndicate","Global syndicate; 200+ portfolio incl. UK, US, EU founders","Has backed marketplace cos; accepts non-Israeli founders","Digital health stated vertical","ourcrowd.com/companies/apply (open submission)","108 investments 2024 with continued 2025 growth","Israel preference but most foreign-founder-friendly Israeli channel"
"Antler Nordic Residency","Accelerator","Stockholm/Oslo/Copenhagen/Helsinki/Tallinn","100k initial + up to 300k follow-on","Day-zero pre-seed, sector-agnostic, solo founders welcome","Backs marketplaces and solo founders without warm intros — Chairmatch fits service-marketplace thesis","Backs healthtech/care plays at day-zero — Alltagsengel iOS+Android traction matches","Apply form on antler.co/apply (always-open residency since 2025)","Closed Nordic Fund II at $100M+ in 2025; always-open residency Feb 2026; invested $5.6M across 14 AI startups Dec 2025","Requires residency participation (in-person sprint)"
"Antler Berlin (Continental Europe)","Accelerator","Berlin, Germany","200k initial + up to 300k follow-on","Day-zero pre-seed, all sectors incl. service marketplaces","Single-founder friendly, residency includes Berlin which suits DACH marketplace","Same residency takes healthtech; fits solo-founder Alltagsengel","apply.antler.co (rolling)","Continental Europe €500k program launched Sept 2025; 100 founders selected from ~10k applicants","Berlin residency requires presence"
"byFounders","Micro-VC","Copenhagen, Denmark","250k-2M","Pre-seed/seed New Nordics, founder-led, community-powered, marketplace-positive","Marketplace thesis confirmed; DACH-adjacent OK","Impact-aware angle fits care-tech narrative","tina@byfounders.vc / partners listed on byfounders.vc/team","Invested in Focalx Feb 2025; Lovable, Monta, Corti in portfolio","Prefers Nordic/Baltic HQ — DACH must show Nordic angle"
"Heartcore Capital","VC","Copenhagen/Berlin/Paris/Stockholm","1.5M-3M (pre-seed possible via Fund V)","B2C consumer, marketplace, e-commerce, healthtech, fashion/beauty","Beauty/fashion + marketplace thesis is direct Chairmatch fit","Healthtech in scope; Berlin presence helps","hello@heartcore.com / partners on heartcore.com/people","Closed €170M Fund V Dec 2024; 8 investments in 2025","Often leads at seed — pre-seed checks rare"
"Maki.vc","Micro-VC","Helsinki, Finland","300k-3M initial","Pre-seed/seed deep-tech & brand-driven; Nordic/Northern Europe","Brand-driven marketplace fits Chairmatch beauty positioning","Brand-driven angle works for Alltagsengel consumer health","hello@maki.vc / partners on maki.vc","Launched €100M Fund III in 2025; 7 new investments incl. Distance Tech, QMill","Heavier on deep-tech than service marketplaces"
"Inventure","Micro-VC","Helsinki/Stockholm","200k-5M","Nordic/Baltic pre-seed to Series B; B2B SaaS, consumer, healthtech","Wolt in portfolio — proven marketplace pattern","Healthtech in mandate","hello@inventure.vc / partners on inventure.vc","7 investments in 2025, 4 YTD 2026","Sweet spot at seed — pre-seed less common"
"Norrsken Evolve","Accelerator","Stockholm, Sweden","250k pre-seed","European pre-seed impact, healthtech, AI infra, sustainability","Service-marketplace impact angle works (gig empowerment, stylist independence)","Direct impact-on-elderly thesis fit","Apply on norrskenevolve.vc","€57M raised in 2025; Norrsken VC backed 7 in 2025 incl. Sava (health), Trawa","Impact thesis required — must articulate SDG link"
"Superangel","Micro-VC","Tallinn, Estonia","100k-500k","Baltics + Nordics early stage; backers of Bolt, Veriff, Pipedrive","Bolt-DNA team understands service marketplaces deeply","Health-adjacent OK","hello@superangel.io","Active 2025 incl. UK Kraken Tech round; SEB pension as LP","Geographic preference Baltics/Nordics — DACH needs angle"
"Trind Ventures","Micro-VC","Tallinn, Estonia","100k-1M (follow-on to 5M)","Founder-first European early-stage consumer & B2B/C2C","Consumer C2C marketplace is core thesis","Consumer health OK","partners on trind.vc","Fund II €55M deploying through 2025","Heavier Nordic/Central Europe"
"Specialist VC","Micro-VC","Tallinn, Estonia","250k-1M","Pre-seed to Series A, marketplaces explicitly in thesis, Baltics + Finland + Ukraine","Marketplace thesis explicit","Vertical SaaS in scope","hello@specialistvc.com","€50M fund deploying 2025","Geographic focus Baltic/Ukraine — DACH harder"
"Practica Capital","Micro-VC","Vilnius, Lithuania","1M-3M initial","Baltic-focused but invests pan-EU; marketplace, SaaS explicit","Marketplace thesis core (Eneba, Ovoko in portfolio)","Care marketplace fits","partners on practica.vc","€80M Fund IV launched early 2024; 4 investments in 2025","Baltic-anchored — DACH needs strong narrative"
"Speedinvest","VC","Vienna/Munich/Berlin/Paris/London","500k-3M pre-seed/seed","Pre-seed to seed; marketplaces and healthtech are explicit verticals","Marketplace vertical with FJ Labs partnership — direct fit","Health vertical led by Daria Saharova (Nilo Health, 9amHealth, hi.health)","speedinvest.com/contact; Mathias Ockenfels marketplaces, Daria Saharova health","€30M continuation fund 2025; €1B+ AUM; 400+ portfolio","Very competitive cold inbound funnel"
"Cherry Ventures","VC","Berlin/London/Stockholm","500k-5M (sweet spot 1.5M)","Pre-seed to Series A, B2B software, fintech, health tech, consumer","Marketplace track record (Flix, Auto1, Flaschenpost)","Healthtech in stated focus","hello@cherry.vc / partners on cherry.vc","130+ portfolio; Tacto, Proxima Fusion, Dash0 2024-25","Usually larger pre-seed checks"
"Calm/Storm Ventures","Micro-VC","Vienna, Austria","50k-500k (avg 500k Fund II)","Most active European healthtech investor; early/pre-seed","n/a","Perfect fit: pre-seed care-tech, DACH, Alltagshilfe + Pflege","hello@calmstorm.vc / partners on calmstorm.vc","€30M Fund II final close 2025; 9 new investments LTM Feb 2026","Healthtech only — Chairmatch n/a"
"Atlantic Labs","VC","Berlin, Germany","25k-5M (leads pre-seed)","Pre-seed Europe; digital health, future of work, mobility, vertical SaaS","Future of work + marketplace overlap","Digital health is explicit vertical","hello@atlantic.vc / partners on atlantic.vc","124 portfolio, 7 new in LTM Oct 2025","Increasingly AI/deep-tech themed"
"Picus Capital","VC","Munich/Berlin/NY/London","400k-3M (sweet spot 1.5M)","Pre-seed to Series A; healthcare, HR, real estate, e-commerce, logistics","Real estate marketplace adjacency for Chairmatch","Healthcare vertical explicit","hello@picuscap.com / partners on picuscap.com","€125M+ deployed 2025; €150M institutional from Carlyle AlpInvest Dec 2025","Very fast process — high bar"
"10x Founders","Micro-VC","Munich, Germany","500k-2.5M","Pre-seed/seed European tech; software-heavy","Tech-enabled marketplace OK if software differentiation strong","SaaS-leaning — health SaaS layer needed","hello@10xfounders.com / partners on 10xfounders.com","12 investments in 2025; 67 total portfolio","Less marketplace-friendly than peer funds"
"Vorwerk Ventures","VC","Berlin, Germany","1M-5M (seed-leading)","Consumer, food, health, climate; €400M AUM","Consumer marketplace track record (Mädchenflohmarkt)","Health is explicit vertical (aiomics 2025)","hello@vorwerkventures.com","2025 investments: aiomics (health), Rebike follow-on","Seed-stage leader — pre-seed rare"
"Capnamic","VC","Cologne/Berlin","500k-3M pre-seed/seed","B2B SaaS DACH-focused, Pre-Seed to Series A","n/a","Vertical SaaS for care possible angle","partners on capnamic.com","$215M fund close 2024; latest Freshflow May 2025","B2B SaaS focus"
"Entrepreneurs First Berlin","Accelerator","Berlin, Germany","€2k/mo + €90k for 10% at Launch","Talent-first pre-seed accelerator; sector-agnostic","Solo founders fit; marketplace welcome","Care-tech welcome","apply on joinef.com/locations/berlin","Cohorts active through Oct 2025 / Jan 2026","Need to commit to cohort and find co-founder — Yusuf already runs solo"
"Founderful","Micro-VC","Zurich, Switzerland","100k-250k initial","Swiss pre-seed lead; B2B, AI, marketplaces, brand-driven","Marketplace explicit in thesis","Healthtech possible","hello@founderful.com / partners on founderful.com","$140M Fund II actively deploying 2025; 8 investments incl. Anthropos","Strong Swiss-tech bias"
"Nina Capital","Micro-VC","Barcelona, Spain","250k-1.5M","Pure healthtech VC; Europe + US + Israel; pre-seed to Series A","n/a","Clinical pathways and tech-enabled care services is exact Alltagsengel fit","hello@nina.capital / partners on nina.capital","€50M Fund III first close Feb 2025; backed Sonar Mental Health","Healthtech only — Chairmatch not a fit"
"Hansi Hansmann / Hansmen Group","Angel","Vienna, Austria","50k-300k typical","Austria/Germany/UK/Spain angel; health-industry and internet","Internet marketplace generic fit","Direct fit: backed Vienna healthtech one100 in 2025","LinkedIn DM (linkedin.com/in/hansihansmann) or hansmengroup.com","one100 mid-six-figure cheque 2025; 100+ direct investments, 50+ active","Geographic bias to AT-adjacent — Frankfurt fine"
"Mato Peric","Angel","Dubai (Germany-focused)","5k-50k (sweet spot 25k)","Ex-Rocket Internet ops; pre-seed/seed enterprise SaaS, consumer, healthtech","Rocket Internet DNA understands marketplaces deeply","Healthtech explicit in mandate","LinkedIn DM / matoperic.com","Latest investment FARO Jan 2025; 23 total investments","Small cheques — needs to be in a syndicate"
"Lukasz Gadowski / Team Global","Angel + family office","Berlin, Germany","25k-500k angel","Consumer internet, marketplaces, mobility","Direct marketplace pedigree (Delivery Hero, Mister Spex, Wolt LP)","n/a","LinkedIn DM","Active 2025 via Team Global; long marketplace track record","Increasingly hard-tech/aero — service marketplaces still possible"
"Iterative","Accelerator","Singapore","up to $500k for 10-15%","YC-style SEA accelerator; sector-agnostic incl. marketplaces","Marketplace founder DNA strong (Propseller, Fluid in portfolio)","Care-tech welcome","apply on iterative.vc/apply","S25 and W26 demo days; 24 investments in 2025","SEA-focused — would need SEA expansion narrative"
"Saison Capital","Micro-VC","Singapore","250k-1M pre-seed/seed","Sector-agnostic SEA + India; explicitly marketplaces and platforms","Marketplace + financial-services-for-underbanked DNA","Underbanked/care services adjacency","hello@saisoncapital.com","79 portfolio; consistently active in pre-seed marketplace deals","SEA/India focus"
"Quest Ventures","VC","Singapore","100k-1M early-stage","Marketplaces is named focus sector across Asia digital economy","Marketplace pedigree (Carousell, Carro, 99.co)","Health-services marketplace possible","hello@questventures.com","150+ portfolio by end 2025; consistently active","Asia-only HQ requirement"
"Earlybird Health","VC","Berlin/Munich","500k-3M","Biotech, medtech, digital health early-stage","n/a","Digital health fits Alltagsengel if §45b reimbursement framed as defensible moat","partners on health.earlybird.com","4 Earlybird Health new investments 2024; 7 YTD May 2026","Healthcare only — Chairmatch out of scope"
"Project A Ventures","VC","Berlin, Germany","1M-8M (Fund V)","Pre-seed to seed; defence, fintech, AI, supply chain","Marketplace track record (Sennder)","Digital health in stated areas","hello@project-a.com / partners on project-a.com","€325M Fund V announced 2025; 15-20 investments/yr","Cheque size starts at €1M — competitive"
"TQ Ventures","VC","Berlin, Germany","500k-2M pre-seed","Pre-seed consumer + B2B; founder-led","Consumer marketplace fit","Consumer-health adjacency","partners on tq.ventures","Active 2025 deployments","Less marketplace track record than peers"
"468 Capital","VC","Berlin/Madrid/SF","250k-2M pre-seed","AI/Automation, infra, climate, consumer","Consumer marketplace possible","n/a","hello@468cap.com / partners on 468cap.com","99 portfolio, 13 new in LTM Nov 2025","AI-heavy thesis"
"Visionaries Tomorrow Fund","Micro-VC","Berlin/London","500k-3M","Deep-tech/climate; health, transportation, mobility","n/a","Health + elderly mobility possible if framed as deep-tech","partners on tomorrow.vc","€50M Tomorrow Fund deploying","Deep-tech/science thesis"
